
                                                          SKOR TABLOSU


                                             No        S1        S2           Skor
                                          --------------------------------------------
                                              1      4894      4945          255.498
                                              2      4920       228             1816
                                              3      4939    267.63             4939
                                              4   294.349      4899             4935
                                              5      4923      4887             4983
                                              6      4887   276.129          285.849
                                              7   271.269      4903             4941
                                              8   284.636      4905             4889
                                              9   271.262      4907             4952
                                             10      4890      4915             4897
                                             11      4941   266.402             4941
                                             12      4932   270.056             4896
                                             13      4893      4892             4976
                                             14      4892   262.777           263.99
                                             15    263.99      4899             4912
                                             16   268.843      4904             4927
                                             17   270.049      4923             4945
                                             18      4966      4953             4969
                                             19      4911   267.622             4911
                                             20    267.63      4936             4939
