
                                                          SKOR TABLOSU


                                             No        S1        S2           Skor
                                          --------------------------------------------
                                              1         1        14          718.198
                                              2         6        31          716.985
                                              3        10        20          712.125
                                              4        30        42          710.911
                                              5        24        25          709.698
                                              6        40        51          703.625
                                              7         8        13          702.412
                                              8         3         4          696.339
                                              9        19        22          692.692
                                             10         0         2          691.479
                                             11       371      4066          325.928
                                             12       424      4838          321.068
                                             13       243      3368          321.068
                                             14      2759      3165          319.855
                                             15       652       768          319.855
                                             16        48      1332          318.641
                                             17       955      2627          317.428
                                             18       529      1480          317.428
                                             19      2171      3582          317.428
                                             20       498      2932          317.421
