
                                                          SKOR TABLOSU


                                             No        S1        S2           Skor
                                          --------------------------------------------
                                              0         1        14          721.819
                                              1         6        31          720.606
                                              2        10        20          715.746
                                              3        30        42          714.533
                                              4        24        25           713.32
                                              5        40        51          707.247
                                              6         8        13          706.033
                                              7         3         4          698.128
                                              8        19        22          696.313
                                              9         0         2            695.1
                                             10       200       325          311.337
                                             11       301       490          310.116
                                             12       166       259          304.051
                                             13        39       297          304.051
                                             14        21       113          304.043
                                             15       104       358          304.036
                                             16       192       274          304.036
                                             17         3       379          302.823
                                             18       114       468          302.823
                                             19       155       483           301.61
